id,time,value,aqi,pollution
1,2023:07:01 23:00:00,329.1,379,Hazardous
2,2023:07:01 23:00:00,45.5,125,Slightly unhealthy
3,2023:07:01 23:00:00,40.8,113,Slightly unhealthy
4,2023:07:01 23:00:00,45.9,126,Slightly unhealthy
5,2023:07:01 23:00:00,47.0,129,Slightly unhealthy
1,2023:07:01 23:00:00,6.2,26,Good
2,2023:07:01 23:00:00,7.8,32,Good
3,2023:07:01 23:00:00,42.3,117,Slightly unhealthy
4,2023:07:01 23:00:00,51.8,141,Slightly unhealthy
5,2023:07:01 23:00:00,238.0,288,Very unhealthy
1,2023:07:01 23:00:00,153.4,203,Very unhealthy
2,2023:07:01 23:00:00,373.7,412,Extremely hazardous
3,2023:07:01 23:00:00,42.8,118,Slightly unhealthy
4,2023:07:01 23:00:00,50.8,138,Slightly unhealthy
5,2023:07:01 23:00:00,9.6,40,Good
1,2023:07:01 23:00:00,46.6,128,Slightly unhealthy
2,2023:07:01 23:00:00,233.0,282,Very unhealthy
3,2023:07:01 23:00:00,37.4,105,Slightly unhealthy
4,2023:07:01 23:00:00,43.9,121,Slightly unhealthy
5,2023:07:01 23:00:00,35.9,101,Slightly unhealthy
1,2023:07:01 23:00:00,402.2,426,Extremely hazardous
2,2023:07:01 23:00:00,545.6,498,Extremely hazardous
3,2023:07:01 23:00:00,54.1,146,Slightly unhealthy
4,2023:07:01 23:00:00,53.3,144,Slightly unhealthy
5,2023:07:01 23:00:00,48.6,133,Slightly unhealthy
1,2023:07:01 23:00:00,48.3,132,Slightly unhealthy
2,2023:07:01 23:00:00,38.0,106,Slightly unhealthy
3,2023:07:01 23:00:00,48.4,132,Slightly unhealthy
4,2023:07:01 23:00:00,49.8,136,Slightly unhealthy
5,2023:07:01 23:00:00,47.2,129,Slightly unhealthy
1,2023:07:01 23:00:00,42.2,117,Slightly unhealthy
2,2023:07:01 23:00:00,411.1,430,Extremely hazardous
3,2023:07:01 23:00:00,40.3,112,Slightly unhealthy
4,2023:07:01 23:00:00,42.6,118,Slightly unhealthy
5,2023:07:01 23:00:00,50.7,138,Slightly unhealthy
1,2023:07:01 23:00:00,52.2,142,Slightly unhealthy
2,2023:07:01 23:00:00,46.1,126,Slightly unhealthy
3,2023:07:01 23:00:00,54.7,148,Slightly unhealthy
4,2023:07:01 23:00:00,43.0,119,Slightly unhealthy
5,2023:07:01 23:00:00,52.9,144,Slightly unhealthy
1,2023:07:01 23:00:00,45.0,124,Slightly unhealthy
2,2023:07:01 23:00:00,444.0,447,Extremely hazardous
3,2023:07:01 23:00:00,7.3,30,Good
4,2023:07:01 23:00:00,41.7,116,Slightly unhealthy
5,2023:07:01 23:00:00,36.6,103,Slightly unhealthy
1,2023:07:01 23:00:00,46.4,127,Slightly unhealthy
2,2023:07:01 23:00:00,38.7,108,Slightly unhealthy
3,2023:07:01 23:00:00,503.1,476,Extremely hazardous
4,2023:07:01 23:00:00,51.8,141,Slightly unhealthy
5,2023:07:01 23:00:00,208.8,258,Very unhealthy
1,2023:07:01 23:00:00,17.0,61,Moderate
2,2023:07:01 23:00:00,47.6,130,Slightly unhealthy
3,2023:07:01 23:00:00,268.1,318,Hazardous
4,2023:07:01 23:00:00,427.7,439,Extremely hazardous
5,2023:07:01 23:00:00,50.4,137,Slightly unhealthy
1,2023:07:01 23:00:00,425.2,437,Extremely hazardous
2,2023:07:01 23:00:00,537.9,494,Extremely hazardous
3,2023:07:01 23:00:00,50.0,136,Slightly unhealthy
4,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
5,2023:07:01 23:00:00,46.9,128,Slightly unhealthy
1,2023:07:01 23:00:00,38.0,106,Slightly unhealthy
2,2023:07:01 23:00:00,38.7,108,Slightly unhealthy
3,2023:07:01 23:00:00,38.4,107,Slightly unhealthy
4,2023:07:01 23:00:00,46.1,126,Slightly unhealthy
5,2023:07:01 23:00:00,48.2,132,Slightly unhealthy
1,2023:07:01 23:00:00,540.4,495,Extremely hazardous
2,2023:07:01 23:00:00,6.0,25,Good
3,2023:07:01 23:00:00,55.5,150,Unhealthy
4,2023:07:01 23:00:00,408.7,429,Extremely hazardous
5,2023:07:01 23:00:00,184.7,234,Very unhealthy
1,2023:07:01 23:00:00,39.8,111,Slightly unhealthy
2,2023:07:01 23:00:00,158.4,208,Very unhealthy
3,2023:07:01 23:00:00,7.3,30,Good
4,2023:07:01 23:00:00,248.9,298,Very unhealthy
5,2023:07:01 23:00:00,41.0,114,Slightly unhealthy
1,2023:07:01 23:00:00,50.8,138,Slightly unhealthy
2,2023:07:01 23:00:00,36.4,102,Slightly unhealthy
3,2023:07:01 23:00:00,45.0,124,Slightly unhealthy
4,2023:07:01 23:00:00,50.0,136,Slightly unhealthy
5,2023:07:01 23:00:00,396.4,423,Extremely hazardous
1,2023:07:01 23:00:00,53.8,146,Slightly unhealthy
2,2023:07:01 23:00:00,308.6,358,Hazardous
3,2023:07:01 23:00:00,36.9,104,Slightly unhealthy
4,2023:07:01 23:00:00,367.4,408,Extremely hazardous
5,2023:07:01 23:00:00,50.5,138,Slightly unhealthy
1,2023:07:01 23:00:00,52.1,142,Slightly unhealthy
2,2023:07:01 23:00:00,544.9,497,Extremely hazardous
3,2023:07:01 23:00:00,453.7,452,Extremely hazardous
4,2023:07:01 23:00:00,245.3,295,Very unhealthy
5,2023:07:01 23:00:00,50.4,137,Slightly unhealthy
1,2023:07:01 23:00:00,41.0,114,Slightly unhealthy
2,2023:07:01 23:00:00,39.6,110,Slightly unhealthy
3,2023:07:01 23:00:00,49.3,134,Slightly unhealthy
