7a 0f 01 64 a0 4d 80 43 a4 8c cd 01 7b 63 7f 
7a 0f 02 64 a0 4d 80 42 36 00 00 00 7d 29 7f 
7a 0f 03 64 a0 4d 80 42 23 33 33 00 71 e1 7f 
7a 0f 04 64 a0 4d 80 42 37 99 9a 00 7e f2 7f 
7a 0f 05 64 a0 4d 80 42 3c 00 00 00 81 1c 7f 
7a 0f 01 64 a0 4d 80 40 c6 66 66 00 1a 33 7f 
7a 0f 02 64 a0 4d 80 40 f9 99 9a 00 20 92 7f 
7a 0f 03 64 a0 4d 80 42 29 33 33 00 75 d7 7f 
7a 0f 04 64 a0 4d 80 42 4f 33 33 00 8d 98 7f 
7a 0f 05 64 a0 4d 80 43 6e 00 00 01 20 49 7f 
7a 0f 01 64 a0 4d 80 43 19 66 66 00 cb 2c 7f 
7a 0f 02 64 a0 4d 80 43 ba d9 9a 01 9c 11 7f 
7a 0f 03 64 a0 4d 80 42 2b 33 33 00 76 d4 7f 
7a 0f 04 64 a0 4d 80 42 4b 33 33 00 8a 9f 7f 
7a 0f 05 64 a0 4d 80 41 19 99 9a 00 28 66 7f 
7a 0f 01 64 a0 4d 80 42 3a 66 66 00 80 57 7f 
7a 0f 02 64 a0 4d 80 43 69 00 00 01 1a 57 7f 
7a 0f 03 64 a0 4d 80 42 15 99 9a 00 69 2a 7f 
7a 0f 04 64 a0 4d 80 42 2f 99 9a 00 79 ff 7f 
7a 0f 05 64 a0 4d 80 42 0f 99 9a 00 65 32 7f 
7a 0f 01 64 a0 4d 80 43 c9 19 9a 01 aa b5 7f 
7a 0f 02 64 a0 4d 80 44 08 66 66 01 f2 13 7f 
7a 0f 03 64 a0 4d 80 42 58 66 66 00 92 25 7f 
7a 0f 04 64 a0 4d 80 42 55 33 33 00 90 8f 7f 
7a 0f 05 64 a0 4d 80 42 42 66 66 00 85 46 7f 
7a 0f 01 64 a0 4d 80 42 41 33 33 00 84 b2 7f 
7a 0f 02 64 a0 4d 80 42 18 00 00 00 6a 5a 7f 
7a 0f 03 64 a0 4d 80 42 41 99 9a 00 84 e3 7f 
7a 0f 04 64 a0 4d 80 42 47 33 33 00 88 a5 7f 
7a 0f 05 64 a0 4d 80 42 3c cc cd 00 81 83 7f 
7a 0f 01 64 a0 4d 80 42 28 cc cd 00 75 a7 7f 
7a 0f 02 64 a0 4d 80 43 cd 8c cd 01 ae 06 7f 
7a 0f 03 64 a0 4d 80 42 21 33 33 00 70 e4 7f 
7a 0f 04 64 a0 4d 80 42 2a 66 66 00 76 6e 7f 
7a 0f 05 64 a0 4d 80 42 4a cc cd 00 8a 6c 7f 
7a 0f 01 64 a0 4d 80 42 50 cc cd 00 8e 66 7f 
7a 0f 02 64 a0 4d 80 42 38 66 66 00 7e 5a 7f 
7a 0f 03 64 a0 4d 80 42 5a cc cd 00 94 54 7f 
7a 0f 04 64 a0 4d 80 42 2c 00 00 00 77 37 7f 
7a 0f 05 64 a0 4d 80 42 53 99 9a 00 90 c3 7f 
7a 0f 01 64 a0 4d 80 42 34 00 00 00 7c 2d 7f 
7a 0f 02 64 a0 4d 80 43 de 00 00 01 bf 3d 7f 
7a 0f 03 64 a0 4d 80 40 e9 99 9a 00 1e a3 7f 
7a 0f 04 64 a0 4d 80 42 26 cc cd 00 74 a7 7f 
7a 0f 05 64 a0 4d 80 42 12 66 66 00 67 94 7f 
7a 0f 01 64 a0 4d 80 42 39 99 9a 00 7f f2 7f 
7a 0f 02 64 a0 4d 80 42 1a cc cd 00 6c bd 7f 
7a 0f 03 64 a0 4d 80 43 fb 8c cd 01 dc a9 7f 
7a 0f 04 64 a0 4d 80 42 4f 33 33 00 8d 98 7f 
7a 0f 05 64 a0 4d 80 43 50 cc cd 01 02 ec 7f 
7a 0f 01 64 a0 4d 80 41 88 00 00 00 3d 19 7f 
7a 0f 02 64 a0 4d 80 42 3e 66 66 00 82 50 7f 
7a 0f 03 64 a0 4d 80 43 86 0c cd 01 3e 3c 7f 
7a 0f 04 64 a0 4d 80 43 d5 d9 9a 01 b7 d9 7f 
7a 0f 05 64 a0 4d 80 42 49 99 9a 00 89 d4 7f 
7a 0f 01 64 a0 4d 80 43 d4 99 9a 01 b5 1f 7f 
7a 0f 02 64 a0 4d 80 44 06 79 9a 01 ee d2 7f 
7a 0f 03 64 a0 4d 80 42 48 00 00 00 88 0b 7f 
7a 0f 04 64 a0 4d 80 42 37 33 33 00 7e bf 7f 
7a 0f 05 64 a0 4d 80 42 3b 99 9a 00 80 eb 7f 
7a 0f 01 64 a0 4d 80 42 18 00 00 00 6a 5b 7f 
7a 0f 02 64 a0 4d 80 42 1a cc cd 00 6c bd 7f 
7a 0f 03 64 a0 4d 80 42 19 99 9a 00 6b 24 7f 
7a 0f 04 64 a0 4d 80 42 38 66 66 00 7e 58 7f 
7a 0f 05 64 a0 4d 80 42 40 cc cd 00 84 7c 7f 
7a 0f 01 64 a0 4d 80 44 07 19 9a 01 ef 31 7f 
